"filename", "language", "Python", "JSON", "pip requirements", "CSV", "comment", "blank", "total"
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/src/utils/utils.py", "Python", 476, 0, 0, 0, 81, 136, 693
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/src/views/base_page.py", "Python", 34, 0, 0, 0, 1, 4, 39
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/src/views/network_page.py", "Python", 100, 0, 0, 0, 17, 24, 141
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/src/views/route_page.py", "Python", 214, 0, 0, 0, 30, 44, 288
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/src/visualizer/base_visualizer.py", "Python", 52, 0, 0, 0, 2, 7, 61
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/src/visualizer/network_visualizer.py", "Python", 105, 0, 0, 0, 7, 16, 128
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/src/visualizer/route_visualizer.py", "Python", 152, 0, 0, 0, 19, 33, 204
"/Users/minhan6559/Desktop/COS30019---Intro-to-AI/Assignment_2B/train_and_evaluate.ipynb", "JSON", 0, 757, 0, 0, 0, 1, 758
"c:/Users/Admin/Desktop/COS30019---Intro-to-AI/Assignment_2B/app.py", "Python", -37, 0, 0, 0, -7, -10, -54
"c:/Users/Admin/Desktop/COS30019---Intro-to-AI/Assignment_2B/data_preprocessing.ipynb", "JSON", 0, -396, 0, 0, 0, -1, -397
"c:/Users/Admin/Desktop/COS30019---Intro-to-AI/Assignment_2B/predict_missing_dates.ipynb", "JSON", 0, -667, 0, 0, 0, -1, -668
